order,id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,image_url,state,lat,long,posting_date
72,7312313815,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7312313815.html,auburn,https://auburn.craigslist.org,33990,2017,jeep,wrangler unlimited sahara,good,6 cylinders,other,34152,clean,other,1C4HJWEG5HL696454,4wd,SUV,white,https://images.craigslist.org/00r0r_kDPOvvRmxPz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-25T09:41:09-0500
74,7311960895,https://auburn.craigslist.org/ctd/d/auburn-university-2020-honda-civic-si/7311960895.html,auburn,https://auburn.craigslist.org,26590,2020,honda,civic si coupe 2d,good,,gas,9954,clean,other,2HGFC3A51LH751302,fwd,coupe,silver,https://images.craigslist.org/00Z0Z_1s2m76Sn1Tgz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-24T12:50:58-0500
75,7311818339,https://auburn.craigslist.org/ctd/d/auburn-university-2018-honda-civic-lx/7311818339.html,auburn,https://auburn.craigslist.org,18590,2018,honda,civic lx sedan 4d,good,,gas,28942,clean,other,19XFC2F59JE206832,fwd,sedan,white,https://images.craigslist.org/00H0H_b24A2x1GzuIz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-24T08:52:24-0500
76,7311818189,https://auburn.craigslist.org/ctd/d/auburn-university-2017-ford-expedition/7311818189.html,auburn,https://auburn.craigslist.org,29590,2017,ford,expedition xlt sport,good,6 cylinders,gas,70760,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,https://images.craigslist.org/00D0D_aqVh7XGmJcQz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-24T08:52:07-0500
77,7311818157,https://auburn.craigslist.org/ctd/d/auburn-university-2018-honda-civic-ex/7311818157.html,auburn,https://auburn.craigslist.org,21590,2018,honda,civic ex sedan 4d,good,,gas,7885,clean,other,2HGFC2F74JH589649,fwd,sedan,,https://images.craigslist.org/01212_6fkPQp1iO8Vz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-24T08:52:03-0500
79,7311351407,https://auburn.craigslist.org/ctd/d/auburn-university-2020-jeep-wrangler/7311351407.html,auburn,https://auburn.craigslist.org,33990,2020,jeep,wrangler sport suv 2d,good,6 cylinders,gas,9859,clean,other,1C4GJXAG9LW193038,4wd,other,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-23T10:10:54-0500
80,7311327726,https://auburn.craigslist.org/ctd/d/auburn-university-2012-toyota-tacoma/7311327726.html,auburn,https://auburn.craigslist.org,29990,2012,toyota,tacoma double cab pickup,good,6 cylinders,gas,43182,clean,other,3TMLU4EN4CM085701,4wd,pickup,white,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-23T09:30:51-0500
85,7310798664,https://auburn.craigslist.org/ctd/d/auburn-university-2020-lexus-nx-300/7310798664.html,auburn,https://auburn.craigslist.org,34990,2020,lexus,nx 300 sport utility 4d,good,,gas,1722,clean,other,JTJAARBZ1L2159357,fwd,hatchback,black,https://images.craigslist.org/01616_iKuyyqnuqsTz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-22T08:51:28-0500
89,7310308166,https://auburn.craigslist.org/ctd/d/auburn-university-2020-volvo-s60-t5/7310308166.html,auburn,https://auburn.craigslist.org,31990,2020,volvo,s60 t5 momentum sedan 4d,good,,gas,16594,clean,other,7JR102FK7LG060315,fwd,sedan,,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-21T09:30:56-0500
90,7310276274,https://auburn.craigslist.org/ctd/d/auburn-university-2019-volvo-s60-t5/7310276274.html,auburn,https://auburn.craigslist.org,28590,2019,volvo,s60 t5 momentum sedan 4d,good,,gas,18531,clean,other,7JR102FK4KG010003,fwd,sedan,black,https://images.craigslist.org/01010_kI12XbB47pHz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-21T08:30:57-0500
99,7309229548,https://auburn.craigslist.org/ctd/d/auburn-university-2018-audi-a6-20t/7309229548.html,auburn,https://auburn.craigslist.org,29590,2018,audi,a6 2.0t premium sedan 4d,good,,gas,13035,clean,other,WAUC8AFC6JN041814,fwd,sedan,,https://images.craigslist.org/00K0K_dtlyDZgN926z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-19T09:51:14-0500
100,7309192232,https://auburn.craigslist.org/ctd/d/auburn-university-2015-hyundai-sonata/7309192232.html,auburn,https://auburn.craigslist.org,16590,2015,hyundai,sonata sport sedan 4d,good,,gas,26655,clean,other,5NPE34AF8FH021634,fwd,sedan,white,https://images.craigslist.org/00d0d_65wNCfzhbwqz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-19T08:51:14-0500
102,7308779719,https://auburn.craigslist.org/ctd/d/auburn-university-2017-ram-1500-crew/7308779719.html,auburn,https://auburn.craigslist.org,33990,2017,ram,1500 crew cab tradesman,good,8 cylinders,gas,17033,clean,other,3C6RR7KT7HG794054,4wd,pickup,blue,https://images.craigslist.org/00Y0Y_jRbwm0dSjSUz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-18T11:21:37-0500
103,7308779686,https://auburn.craigslist.org/ctd/d/auburn-university-2019-gmc-sierra-1500/7308779686.html,auburn,https://auburn.craigslist.org,36590,2019,gmc,sierra 1500 limited double,good,8 cylinders,gas,14222,clean,other,2GTV2LECXK1123316,4wd,pickup,blue,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-18T11:21:35-0500
105,7308730136,https://auburn.craigslist.org/ctd/d/auburn-university-2019-ford-f250-super/7308730136.html,auburn,https://auburn.craigslist.org,40590,2019,ford,f250 super duty regular cab,good,8 cylinders,other,9313,clean,other,1FTBF2B65KEC91136,4wd,pickup,white,https://images.craigslist.org/01010_5JjwyfgNcrjz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-18T09:50:48-0500
106,7308365829,https://auburn.craigslist.org/ctd/d/auburn-university-2018-jeep-wrangler/7308365829.html,auburn,https://auburn.craigslist.org,33990,2018,jeep,wrangler unlimited willys,good,6 cylinders,gas,34636,clean,other,1C4BJWDG2JL806552,4wd,other,white,https://images.craigslist.org/00d0d_lQWs0jxSyooz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-17T13:11:25-0500
107,7308255063,https://auburn.craigslist.org/ctd/d/auburn-university-2019-jeep-wrangler/7308255063.html,auburn,https://auburn.craigslist.org,43990,2019,jeep,wrangler unlimited sahara,good,,gas,4362,clean,other,1C4HJXEN4KW505794,4wd,SUV,black,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-17T10:30:46-0500
108,7308217002,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7308217002.html,auburn,https://auburn.craigslist.org,38990,2017,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,20676,clean,other,1C4BJWFG3HL547853,4wd,other,red,https://images.craigslist.org/01212_59EilBaTKT6z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-17T09:21:25-0500
109,7308216849,https://auburn.craigslist.org/ctd/d/auburn-university-2018-jeep-wrangler/7308216849.html,auburn,https://auburn.craigslist.org,39590,2018,jeep,wrangler unlimited all new,good,6 cylinders,gas,21893,clean,other,1C4HJXEGXJW175675,4wd,SUV,silver,https://images.craigslist.org/01414_5nOgqzFya62z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-17T09:21:10-0500
111,7307218858,https://auburn.craigslist.org/ctd/d/auburn-university-2018-gmc-acadia-sle/7307218858.html,auburn,https://auburn.craigslist.org,28590,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,20736,clean,other,1GKKNLLS2JZ178034,fwd,SUV,white,https://images.craigslist.org/00c0c_kXhBir3Ii6xz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-15T11:00:40-0500
112,7307164168,https://auburn.craigslist.org/ctd/d/auburn-university-2013-lincoln-mkz/7307164168.html,auburn,https://auburn.craigslist.org,16590,2013,lincoln,mkz sedan 4d,good,,gas,61087,clean,other,3LN6L2G99DR819673,fwd,sedan,red,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-15T09:31:01-0500
113,7307164193,https://auburn.craigslist.org/ctd/d/auburn-university-2017-gmc-acadia-slt/7307164193.html,auburn,https://auburn.craigslist.org,28990,2017,gmc,acadia slt-1 sport utility,good,6 cylinders,gas,18041,clean,other,1GKKNMLS2HZ305977,fwd,SUV,,https://images.craigslist.org/00w0w_b3G8mxfApIiz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-15T09:31:04-0500
114,7307142186,https://auburn.craigslist.org/ctd/d/auburn-university-2017-lincoln-mkz/7307142186.html,auburn,https://auburn.craigslist.org,20590,2017,lincoln,mkz premiere sedan 4d,good,,gas,36436,clean,other,3LN6L5A97HR666209,fwd,sedan,,https://images.craigslist.org/00F0F_ghX7UUlnBrEz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-15T08:50:52-0500
115,7306701617,https://auburn.craigslist.org/ctd/d/auburn-university-2015-lexus-nx-200t/7306701617.html,auburn,https://auburn.craigslist.org,26990,2015,lexus,nx 200t sport utility 4d,good,,gas,29738,clean,other,JTJYARBZ9F2013419,fwd,hatchback,red,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-14T11:01:07-0500
116,7306676175,https://auburn.craigslist.org/ctd/d/auburn-university-2016-lexus-nx-200t/7306676175.html,auburn,https://auburn.craigslist.org,26990,2016,lexus,nx 200t sport utility 4d,good,,gas,31363,clean,other,JTJYARBZ5G2041512,fwd,hatchback,white,https://images.craigslist.org/00J0J_7FX8tlOfh4ez_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-14T10:21:10-0500
129,7305666455,https://auburn.craigslist.org/ctd/d/auburn-university-2020-infiniti-qx60/7305666455.html,auburn,https://auburn.craigslist.org,38990,2020,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,5279,clean,other,5N1DL0MN9LC508268,fwd,other,black,https://images.craigslist.org/00N0N_blMVsYWfrW9z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-12T11:11:29-0500
133,7305186870,https://auburn.craigslist.org/ctd/d/auburn-university-2018-hyundai-sonata/7305186870.html,auburn,https://auburn.craigslist.org,18590,2018,hyundai,sonata sel sedan 4d,good,,gas,22075,clean,other,5NPE34AF7JH658815,fwd,sedan,white,https://images.craigslist.org/00s0s_2PUX5ZFgrdNz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-11T11:21:37-0500
139,7304685581,https://auburn.craigslist.org/ctd/d/auburn-university-2019-jeep-wrangler/7304685581.html,auburn,https://auburn.craigslist.org,32990,2019,jeep,wrangler sport suv 2d,good,6 cylinders,other,1423,clean,other,1C4GJXAGXKW566358,4wd,SUV,yellow,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-10T10:31:27-0500
140,7304685502,https://auburn.craigslist.org/ctd/d/auburn-university-2012-jeep-wrangler/7304685502.html,auburn,https://auburn.craigslist.org,27590,2012,jeep,wrangler unlimited sport,good,6 cylinders,gas,52172,clean,other,1C4BJWDG5CL258372,4wd,SUV,black,https://images.craigslist.org/00505_dd1f7wuDcMsz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-10T10:31:21-0500
141,7304646033,https://auburn.craigslist.org/ctd/d/auburn-university-2017-toyota-camry-le/7304646033.html,auburn,https://auburn.craigslist.org,18590,2017,toyota,camry le sedan 4d,good,,gas,30223,clean,other,4T1BF1FK4HU421581,fwd,sedan,silver,https://images.craigslist.org/00F0F_7gmoEvbrZZ7z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-10T09:21:18-0500
143,7304184221,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7304184221.html,auburn,https://auburn.craigslist.org,40990,2017,jeep,wrangler unlimited rubicon,good,,other,30092,clean,other,1C4BJWFG7HL558919,4wd,other,black,https://images.craigslist.org/00z0z_2bZEi5IsWWDz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-09T10:51:35-0500
144,7304158673,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7304158673.html,auburn,https://auburn.craigslist.org,33590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,37919,clean,other,1C4BJWDG7HL689576,4wd,SUV,black,https://images.craigslist.org/00q0q_44NkxOIlLrMz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-09T10:11:20-0500
145,7304134738,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7304134738.html,auburn,https://auburn.craigslist.org,31590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,35391,clean,other,1C4BJWDG8HL671975,4wd,SUV,black,https://images.craigslist.org/00W0W_buOjh5s1Qhuz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-09T09:31:05-0500
146,7304111898,https://auburn.craigslist.org/ctd/d/auburn-university-2017-jeep-wrangler/7304111898.html,auburn,https://auburn.craigslist.org,30990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,43039,clean,other,1C4BJWDG6HL650381,4wd,SUV,silver,https://images.craigslist.org/00j0j_BfPLW19l2Fz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-09T08:51:07-0500
148,7303661350,https://auburn.craigslist.org/ctd/d/auburn-university-2018-chrysler-limited/7303661350.html,auburn,https://auburn.craigslist.org,20590,2018,chrysler,300 limited sedan 4d,good,6 cylinders,gas,71021,clean,other,2C3CCAEG6JH123125,rwd,sedan,black,https://images.craigslist.org/00x0x_ga6n3ZpljYxz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-08T10:41:10-0500
150,7303606702,https://auburn.craigslist.org/ctd/d/auburn-university-2013-nissan-sentra/7303606702.html,auburn,https://auburn.craigslist.org,10990,2013,nissan,sentra s sedan 4d,good,,gas,81557,clean,other,3N1AB7AP2DL658501,fwd,sedan,red,https://images.craigslist.org/00L0L_37Ad4hiDJ75z_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-08T09:11:55-0500
151,7303236380,https://auburn.craigslist.org/ctd/d/auburn-university-2018-gmc-acadia-sle/7303236380.html,auburn,https://auburn.craigslist.org,26990,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,26514,clean,other,1GKKNLLS5JZ181591,fwd,SUV,,https://images.craigslist.org/00D0D_2EekLdmlBphz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-07T13:11:30-0500
154,7303065864,https://auburn.craigslist.org/ctd/d/auburn-university-2018-lincoln-mkz/7303065864.html,auburn,https://auburn.craigslist.org,24590,2018,lincoln,mkz select sedan 4d,good,,gas,16081,clean,automatic,3LN6L5C91JR615484,fwd,sedan,white,https://images.craigslist.org/00R0R_iuWMpodqwtwz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-07T08:41:02-0500
157,7302537601,https://auburn.craigslist.org/ctd/d/auburn-university-2020-buick-encore-gx/7302537601.html,auburn,https://auburn.craigslist.org,25590,2020,buick,encore gx select sport,good,,gas,1113,clean,automatic,KL4MMDSL6LB104869,fwd,SUV,red,https://images.craigslist.org/00k0k_87z4Y9dEMamz_0gw0co_600x450.jpg,al,32.59,-85.48,2021-04-06T08:24:55-0500
189,7316788533,https://bham.craigslist.org/ctd/d/birmingham-2017-nissan-titan-single-cab/7316788533.html,birmingham,https://bham.craigslist.org,26990,2017,nissan,titan single cab sv,good,8 cylinders,gas,41335,clean,other,1N6AA1R84HN570756,4wd,pickup,red,https://images.craigslist.org/00H0H_fecvcuFxTmkz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-04T11:51:26-0500
215,7316482063,https://bham.craigslist.org/ctd/d/powder-springs-very-well-kept-sky-blue/7316482063.html,birmingham,https://bham.craigslist.org,4000,2002,toyota,echo,excellent,4 cylinders,gas,155000,clean,automatic,JTDBT123520243495,fwd,sedan,blue,https://images.craigslist.org/00N0N_jYPooSDmN5az_0mX0cU_600x450.jpg,al,33.9135,-84.6859,2021-05-03T17:48:17-0500
219,7316429417,https://bham.craigslist.org/cto/d/birmingham-1995-bmw-525i-e34/7316429417.html,birmingham,https://bham.craigslist.org,2500,1995,bmw,525i,fair,6 cylinders,gas,110661,clean,automatic,WBAHD6322SGK86772,rwd,sedan,white,https://images.craigslist.org/00R0R_iQQpe8BshGIz_0ak07K_600x450.jpg,al,33.3538,-86.8254,2021-05-03T16:03:27-0500
223,7316411064,https://bham.craigslist.org/ctd/d/birmingham-2017-ford-cmax-hybrid-se/7316411064.html,birmingham,https://bham.craigslist.org,15990,2017,ford,c-max hybrid se wagon 4d,good,,hybrid,48195,clean,other,1FADP5AU1HL114567,fwd,wagon,blue,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,al,33.52,-86.79,2021-05-03T15:32:03-0500
230,7316368518,https://bham.craigslist.org/ctd/d/birmingham-2012-gmc-sierra-2500-hd/7316368518.html,birmingham,https://bham.craigslist.org,27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,clean,other,1GT220CG8CZ231238,4wd,pickup,black,https://images.craigslist.org/00V0V_ftJbKrOgdi5z_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-03T14:21:01-0500
251,7316160104,https://bham.craigslist.org/ctd/d/birmingham-2016-chevy-chevrolet/7316160104.html,birmingham,https://bham.craigslist.org,29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,clean,other,1GCHTCE37G1186784,4wd,pickup,red,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-03T08:51:13-0500
252,7316160083,https://bham.craigslist.org/ctd/d/birmingham-2010-chevy-chevrolet/7316160083.html,birmingham,https://bham.craigslist.org,35590,2010,chevrolet,corvette convertible,good,8 cylinders,gas,31879,clean,other,1G1YC3DW6A5101146,rwd,other,red,https://images.craigslist.org/00f0f_4tRTiDENPtLz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-03T08:51:11-0500
268,7315946365,https://bham.craigslist.org/cto/d/bessemer-2008-mazda-miata-mx/7315946365.html,birmingham,https://bham.craigslist.org,9000,2008,mazda,miata mx-5,excellent,4 cylinders,gas,56700,clean,automatic,JM1NC25F570128735,rwd,convertible,white,https://images.craigslist.org/00S0S_277uHKZpbGnz_0gw0co_600x450.jpg,al,33.339133,-86.920052,2021-05-02T16:41:28-0500
277,7315873690,https://bham.craigslist.org/ctd/d/birmingham-2017-jeep-wrangler-sport/7315873690.html,birmingham,https://bham.craigslist.org,31990,2017,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,891,clean,other,1C4AJWAG1HL698869,4wd,other,white,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,al,33.52,-86.79,2021-05-02T14:11:09-0500
285,7315826388,https://bham.craigslist.org/ctd/d/birmingham-2017-jeep-wrangler-unlimited/7315826388.html,birmingham,https://bham.craigslist.org,32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,clean,other,1C4BJWDG5HL705371,4wd,other,silver,https://images.craigslist.org/00u0u_bB3krjp4B3lz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-02T12:41:24-0500
290,7315785227,https://bham.craigslist.org/ctd/d/birmingham-2016-kia-forte-koup-ex-coupe/7315785227.html,birmingham,https://bham.craigslist.org,16990,2016,kia,forte koup ex coupe 2d,good,,gas,17631,clean,other,KNAFX6A8XG5647822,fwd,coupe,,https://images.craigslist.org/00n0n_6HNRoAHPcHvz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-02T11:21:02-0500
320,7315472435,https://bham.craigslist.org/ctd/d/birmingham-2020-ford-mustang-gt-premium/7315472435.html,birmingham,https://bham.craigslist.org,39590,2020,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,1419,clean,other,1FA6P8CF5L5136223,rwd,coupe,white,https://images.craigslist.org/00a0a_5uW1C1FfZvSz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-01T15:00:57-0500
322,7315467479,https://bham.craigslist.org/ctd/d/birmingham-2018-buick-regal-sportback/7315467479.html,birmingham,https://bham.craigslist.org,21990,2018,buick,regal sportback preferred,good,,gas,4988,clean,other,W04GL6SX4J1075339,fwd,sedan,white,https://images.craigslist.org/00S0S_4n9el7yJVxyz_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-01T14:51:25-0500
323,7315467324,https://bham.craigslist.org/ctd/d/birmingham-2017-hyundai-sonata-plugin/7315467324.html,birmingham,https://bham.craigslist.org,19990,2017,hyundai,sonata plug-in hybrid,good,,hybrid,29254,clean,manual,KMHE54L2XHA065127,fwd,sedan,white,https://images.craigslist.org/00909_dV1q6gmPAi7z_0gw0co_600x450.jpg,al,33.52,-86.79,2021-05-01T14:51:12-0500
337,7315354216,https://bham.craigslist.org/cto/d/marietta-2011-ford-150-regular-cab-long/7315354216.html,birmingham,https://bham.craigslist.org,8950,2011,ford,f-150,excellent,6 cylinders,gas,164000,clean,automatic,1FTMF1CM6BKD55331,fwd,truck,white,https://images.craigslist.org/01212_6xRHfNWpFtGz_0CI0t2_600x450.jpg,al,34.0378,-84.5038,2021-05-01T11:41:04-0500
